DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
0.0000	5.4991	5.8516	5.9503	5.3718	6.5302	4.7915
0.1000	5.5188	5.8755	5.8524	5.3589	6.6353	4.7737
0.2000	5.5154	5.8950	5.8161	5.3495	6.7644	4.7588
0.3000	5.4908	5.9165	5.9223	5.3365	6.8958	4.7402
0.4000	5.4693	5.9475	5.9787	5.3333	7.0312	4.7264
0.5000	5.4845	5.9889	5.9408	5.3268	7.1678	4.7064
0.6000	5.5200	6.0373	5.8557	5.2987	7.3177	4.6697
0.7000	5.5370	6.0865	5.7863	5.2692	7.5110	4.6356
0.8000	5.5219	6.1356	5.8150	5.2539	7.7418	4.6141
0.9000	5.4902	6.1847	5.9107	5.2490	7.9936	4.5984
1.0000	5.4778	6.2366	5.9673	5.2432	8.2423	4.5773
1.1000	5.5009	6.3053	5.9126	5.2189	8.4715	4.5383
1.2000	5.5442	6.3875	5.7818	5.1709	8.7011	4.4809
1.3000	5.5750	6.4664	5.6928	5.1179	8.9709	4.4232
1.4000	5.5764	6.5412	5.6966	5.0756	9.2779	4.3756
1.5000	5.5705	6.6198	5.7806	5.0499	9.6102	4.3400
1.6000	5.5792	6.7138	5.8007	5.0316	9.9587	4.3081
1.7000	5.6183	6.8295	5.7460	5.0082	10.3394	4.2717
1.8000	5.6706	6.9610	5.6691	4.9766	10.7986	4.2323
1.9000	5.7043	7.1004	5.6273	4.9539	11.3643	4.2057
2.0000	5.7188	7.2420	5.6977	4.9408	12.0016	4.1897
2.1000	5.7381	7.3897	5.8100	4.9339	12.6976	4.1810
2.2000	5.7902	7.5485	5.8030	4.9279	13.4708	4.1775
2.3000	5.8823	7.7316	5.7005	4.9093	14.3848	4.1777
2.4000	5.9832	7.9422	5.5740	4.8731	15.4763	4.1883
2.5000	6.0810	8.1608	5.5299	4.8520	16.7885	4.2325
2.6000	6.1879	8.3817	5.5413	4.8737	18.3227	4.3290
2.7000	6.3347	8.6108	5.5201	4.9386	19.9865	4.4862
2.8000	6.5399	8.8625	5.4680	5.0322	21.6251	4.6941
2.9000	6.8074	9.1487	5.4008	5.1307	23.0111	4.9219
3.0000	7.1721	9.4625	5.3963	5.2543	24.1211	5.1759
3.1000	7.6123	9.7990	5.3309	5.4260	24.8965	5.4545
3.2000	8.0892	10.1672	5.3693	5.6415	25.2803	5.7351
3.3000	8.5528	10.5840	5.6153	5.8750	25.3311	5.9946
3.4000	8.9850	11.0691	5.9398	6.1432	25.2374	6.2563
3.5000	9.3838	11.6276	6.2905	6.4313	25.0449	6.5112
3.6000	9.7301	12.2603	6.7371	6.7186	24.7982	6.7441
3.7000	10.0197	12.9667	7.3068	7.0002	24.5026	6.9516
3.8000	10.2728	13.7277	7.9459	7.2909	24.2091	7.1452
3.9000	10.5043	14.4795	8.5418	7.5898	23.9698	7.3349
4.0000	10.7111	15.1890	9.1342	7.8917	23.7931	7.5199
4.1000	10.8781	15.8555	9.8025	8.2019	23.6780	7.7069
4.2000	11.0004	16.4648	10.4877	8.5473	23.6252	7.9095
4.3000	11.1031	17.0113	11.1488	8.9359	23.5592	8.1097
4.4000	11.2053	17.4934	11.7114	9.3636	23.4745	8.2973
4.5000	11.3042	17.9225	12.0474	9.7942	23.3113	8.4589
4.6000	11.4063	18.3055	12.3866	10.2154	23.0776	8.5976
4.7000	11.4890	18.6463	12.6241	10.6619	22.8454	8.7292
4.8000	11.5542	18.9446	12.8093	11.1722	22.5855	8.8505
4.9000	11.6225	19.2066	13.0837	11.7340	22.2602	8.9382
5.0000	11.6862	19.4551	13.1583	12.3758	21.9354	9.0208
5.1000	11.7457	19.6987	13.1276	13.1136	21.6210	9.1198
5.2000	11.7879	19.9324	13.2173	13.8959	21.2637	9.2192
