DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
5.3000	11.8073	20.1424	13.4065	14.6952	20.8765	9.3231
5.4000	11.8255	20.3326	13.5926	15.4652	20.5016	9.4362
5.5000	11.8466	20.5071	13.6274	16.1974	20.1139	9.5478
5.6000	11.8701	20.6481	13.6499	16.8445	19.6556	9.6402
5.7000	11.8875	20.7662	13.7676	17.3935	19.1417	9.7305
5.8000	11.8896	20.8562	13.8082	17.8837	18.5973	9.8472
5.9000	11.8903	20.8928	13.8964	18.3266	17.9963	9.9760
6.0000	11.8918	20.8871	13.9850	18.7123	17.3444	10.0970
6.1000	11.8924	20.8622	14.0038	19.0788	16.6725	10.2328
6.2000	11.8900	20.8262	13.9872	19.4015	15.9181	10.3839
6.3000	11.8777	20.7706	14.0500	19.7007	15.1615	10.5713
6.4000	11.8502	20.6806	14.1439	20.0259	14.4850	10.8116
6.5000	11.8102	20.5562	14.2796	20.4085	13.9209	11.1057
6.6000	11.7600	20.3846	14.4164	20.8143	13.4517	11.4320
6.7000	11.7062	20.1699	14.5789	21.2122	13.0383	11.7890
6.8000	11.6529	19.9378	14.6805	21.5578	12.6573	12.1845
6.9000	11.6051	19.6815	14.7205	21.8542	12.3034	12.6267
7.0000	11.5572	19.3825	14.7173	22.0987	11.9799	13.1258
7.1000	11.4939	19.0310	14.6958	22.3430	11.6918	13.7133
7.2000	11.4015	18.6276	14.7543	22.6344	11.4269	14.4007
7.3000	11.2793	18.1754	14.9221	22.9232	11.1518	15.1478
7.4000	11.1475	17.6875	15.1396	23.1792	10.8532	15.8843
7.5000	11.0161	17.1824	15.1945	23.4111	10.5412	16.6012
7.6000	10.8780	16.6156	15.1204	23.6136	10.2295	17.2719
7.7000	10.7100	15.9917	15.1417	23.7823	9.9220	17.8704
7.8000	10.4922	15.3880	15.2939	23.9467	9.6242	18.4148
7.9000	10.2274	14.8386	15.5445	24.1462	9.3590	18.9337
8.0000	9.9267	14.3690	15.7586	24.3069	9.1218	19.3685
8.1000	9.6122	13.9740	15.9042	24.3685	8.9474	19.6871
8.2000	9.2544	13.6375	15.8404	24.3931	8.8791	19.9224
8.3000	8.8484	13.3494	15.7898	24.2400	8.8510	19.9559
8.4000	8.4616	13.0903	16.1347	23.7790	8.8389	19.7101
8.5000	8.1526	12.8453	15.8606	23.0270	8.8448	19.2200
8.6000	7.9642	12.6016	14.9297	21.9695	8.8423	18.4638
8.7000	7.8391	12.3572	13.7286	20.5224	8.8337	17.3763
8.8000	7.7371	12.1168	12.4359	18.9209	8.8655	16.1617
8.9000	7.6612	11.8822	11.4148	17.3944	8.9489	15.0197
9.0000	7.6022	11.6613	10.5339	16.0606	9.1127	14.0384
9.1000	7.5635	11.4633	9.7558	14.9953	9.4011	13.2897
9.2000	7.5277	11.3050	9.1341	14.1505	9.8067	12.7433
9.3000	7.4773	11.1828	8.7520	13.4950	10.3239	12.3683
9.4000	7.4191	11.0862	8.6048	13.0018	10.9219	12.1403
9.5000	7.3720	11.0053	8.5561	12.6281	11.5399	12.0253
9.6000	7.3576	10.9272	8.4781	12.2943	12.1002	11.9507
9.7000	7.3820	10.8555	8.3516	11.9546	12.5778	11.8770
9.8000	7.4167	10.7918	8.1311	11.6084	12.9504	11.8061
9.9000	7.4391	10.7290	7.9287	11.2356	13.1716	11.7184
10.0000	7.4752	10.6765	7.8363	10.8619	13.2938	11.6347
10.1000	7.5321	10.6508	7.6026	10.5514	13.3713	11.6069
10.2000	7.6013	10.6655	7.3104	10.3087	13.4117	11.6378
10.3000	7.6742	10.7171	7.1905	10.1081	13.3835	11.7030
10.4000	7.7468	10.8039	7.2250	10.0120	13.3024	11.8661
10.5000	7.8052	10.9282	7.3597	10.0171	13.1669	12.1101
10.6000	7.8500	11.0705	7.6592	10.0783	12.9750	12.3662
10.7000	7.8868	11.2151	7.9887	10.1714	12.7647	12.5987
10.8000	7.9309	11.3600	8.2452	10.2691	12.5691	12.8117
10.9000	7.9744	11.4826	8.4272	10.3465	12.3580	12.9875
11.0000	8.0018	11.5761	8.6148	10.3816	12.1004	13.1000
11.1000	8.0231	11.6650	8.8566	10.3886	11.8112	13.1633
11.2000	8.0420	11.7557	8.9514	10.4100	11.5333	13.2148
11.3000	8.0662	11.8306	8.9652	10.4272	11.2384	13.2279
11.4000	8.0913	11.8960	9.0482	10.4300	10.9259	13.1929
11.5000	8.0959	11.9652	9.0833	10.4779	10.6503	13.1811
11.6000	8.0840	12.0307	9.1611	10.5884	10.3826	13.1909
11.7000	8.0700	12.0671	9.3522	10.7238	10.0740	13.1623
11.8000	8.0668	12.0248	9.4653	10.9029	9.7816	13.1168
11.9000	8.0749	11.9152	9.4258	11.1253	9.5397	13.0594
12.0000	8.0820	11.7718	9.4264	11.3358	9.3203	12.9448
12.1000	8.0816	11.6147	9.5522	11.5281	9.1394	12.7975
12.2000	8.0876	11.4740	9.6204	11.7361	9.0433	12.6678
12.3000	8.1219	11.3352	9.6278	12.0136	9.1353	12.6289
12.4000	8.1534	11.1866	9.6020	12.3855	9.3778	12.7112
12.5000	8.1624	11.0408	9.9081	12.8150	9.6243	12.8344
12.6000	8.1819	10.8980	10.5882	13.2512	9.8320	12.9413
12.7000	8.2823	10.7488	10.9755	13.6250	9.9408	12.9775
12.8000	8.4944	10.5824	11.0000	13.8101	9.8888	12.8216
12.9000	8.6817	10.4136	10.6627	13.7454	9.7413	12.4490
13.0000	8.7892	10.2497	10.2623	13.5217	9.6158	11.9850
13.1000	8.8265	10.0824	10.1245	13.2436	9.5677	11.5384
13.2000	8.8108	9.9273	10.0154	13.0093	9.5963	11.1878
13.3000	8.8040	9.8305	9.9548	12.8495	9.6752	10.9386
13.4000	8.8004	9.8225	9.8794	12.7147	9.7777	10.7406
13.5000	8.7882	9.8476	9.9102	12.5754	9.8684	10.5841
13.6000	8.7689	9.8506	10.1844	12.4293	9.9552	10.4728
13.7000	8.7260	9.8262	10.4515	12.3142	10.0766	10.4329
13.8000	8.6765	9.7843	10.6534	12.1737	10.1684	10.4088
13.9000	8.6524	9.7512	10.8313	11.9488	10.1882	10.3380
14.0000	8.6682	9.7493	10.7019	11.6766	10.1793	10.2421
14.1000	8.7178	9.7780	10.3370	11.3727	10.1627	10.1345
14.2000	8.7435	9.8118	10.0647	11.0325	10.1436	10.0159
14.3000	8.7119	9.8293	9.9914	10.7008	10.1074	9.9050
14.4000	8.6626	9.8523	10.0624	10.4391	10.0941	9.8321
14.5000	8.6256	9.8978	9.9720	10.2165	10.0769	9.7730
14.6000	8.6368	9.9603	9.8673	9.9736	10.0079	9.6700
14.7000	8.6875	10.0291	9.7579	9.7213	9.9305	9.5247
14.8000	8.7313	10.0862	9.5507	9.5933	9.9366	9.4360
14.9000	8.7239	10.1022	9.4927	9.5829	9.9927	9.4168
15.0000	8.6656	10.0702	9.8044	9.6006	10.0541	9.4310
15.1000	8.6123	10.0307	10.1423	9.6419	10.1364	9.4760
15.2000	8.6238	10.0154	10.1752	9.6824	10.2489	9.5336
15.3000	8.6804	10.0166	10.0348	9.6815	10.3781	9.5617
15.4000	8.7205	10.0254	10.0000	9.6554	10.5363	9.5617
15.5000	8.7123	10.0313	10.1761	9.6852	10.7887	9.6071
15.6000	8.6488	10.0166	10.3326	9.7931	11.1022	9.7054
15.7000	8.5909	9.9819	10.5907	9.8964	11.3678	9.7759
15.8000	8.5772	9.9636	10.7260	9.9432	11.5567	9.7653
15.9000	8.6188	9.9869	10.4600	9.9338	11.6755	9.6766
16.0000	8.7153	10.0293	10.1299	9.8308	11.7346	9.4945
16.1000	8.8002	10.0694	9.8633	9.6860	11.8489	9.2725
16.2000	8.8388	10.1006	9.6733	9.5892	12.0648	9.0864
16.3000	8.8352	10.1270	9.6795	9.5413	12.3518	8.9576
16.4000	8.8045	10.1579	9.7182	9.5058	12.6491	8.8575
16.5000	8.8082	10.2176	9.8119	9.4809	12.9536	8.7686
16.6000	8.8523	10.3184	9.7451	9.4418	13.2515	8.6595
16.7000	8.9319	10.4261	9.6622	9.3920	13.5773	8.5455
16.8000	9.0027	10.5244	9.6738	9.3324	14.0003	8.4685
16.9000	9.0204	10.6146	9.7737	9.3278	14.5763	8.4856
17.0000	8.9942	10.6957	10.0037	9.3558	15.2229	8.5442
17.1000	8.9761	10.7905	10.3044	9.3667	15.8700	8.5915
17.2000	9.0140	10.9115	10.3587	9.3632	16.5256	8.6087
17.3000	9.1133	11.0599	10.1527	9.3384	17.1824	8.5812
17.4000	9.2395	11.2233	9.9647	9.2554	17.8412	8.5073
17.5000	9.3492	11.4040	9.8717	9.1524	18.6351	8.4534
17.6000	9.4344	11.6153	9.7789	9.0816	19.6149	8.4671
17.7000	9.5299	11.8340	9.7637	9.0585	20.7456	8.5483
17.8000	9.6468	12.0695	9.7066	9.0897	22.0101	8.6996
17.9000	9.8079	12.3492	9.6041	9.1811	23.3278	8.9349
18.0000	10.0162	12.6696	9.5296	9.3144	24.4585	9.2154
18.1000	10.2884	12.9970	9.5192	9.4394	25.2290	9.4972
18.2000	10.6932	13.3253	9.5521	9.5780	25.7666	9.8243
18.3000	11.1721	13.6660	9.3202	9.7682	26.0718	10.2024
18.4000	11.6455	14.0259	9.2984	9.9844	26.0087	10.5695
18.5000	12.0537	14.4332	9.7259	10.2234	25.6469	10.9131
18.6000	12.4186	14.9027	10.1845	10.5664	25.1746	11.2965
18.7000	12.7707	15.4260	10.6275	10.9636	24.5481	11.6705
18.8000	13.0770	15.9944	11.1763	11.3446	23.7833	11.9805
18.9000	13.3059	16.5958	11.8668	11.7277	23.0192	12.2841
19.0000	13.4648	17.2122	12.6300	12.1251	22.2050	12.5837
19.1000	13.5956	17.7596	13.5311	12.5250	21.3103	12.8533
19.2000	13.7106	18.2315	14.3142	12.9304	20.3561	13.0953
19.3000	13.8195	18.6920	14.9166	13.3686	19.3567	13.3346
19.4000	13.9050	19.1073	15.4354	13.8460	18.3497	13.5693
19.5000	13.9436	19.4392	15.9636	14.3411	17.4202	13.7907
19.6000	13.9623	19.6807	16.6029	14.8405	16.5846	13.9951
19.7000	13.9684	19.8483	17.0231	15.3624	15.8513	14.1959
19.8000	13.9768	19.9431	17.2188	15.8881	15.1643	14.3696
19.9000	13.9953	19.9618	17.4432	16.3918	14.5170	14.4914
20.0000	13.9968	19.9183	17.4955	16.9412	13.9140	14.6107
20.1000	13.9883	19.7898	17.5404	17.5618	13.3491	14.7364
20.2000	13.9584	19.5623	17.6854	18.2593	12.8504	14.8544
20.3000	13.8930	19.2468	17.7908	19.0741	12.4305	14.9909
20.4000	13.7986	18.8477	18.0305	20.0229	12.0708	15.1734
20.5000	13.6562	18.3641	18.2514	21.0186	11.7479	15.3876
20.6000	13.4854	17.7992	18.6632	21.9728	11.4252	15.6267
20.7000	13.2909	17.1734	19.0849	22.9317	11.0909	15.8764
20.8000	13.0618	16.4843	19.3249	23.9150	10.7417	16.1413
20.9000	12.8010	15.7998	19.6429	24.7857	10.3686	16.3455
21.0000	12.4844	15.1802	20.0166	25.5391	9.9898	16.5024
21.1000	12.0973	14.6336	20.2463	26.2026	9.5862	16.6114
21.2000	11.6614	14.1616	20.5742	26.7036	9.1609	16.6244
21.3000	11.1717	13.7636	20.7005	27.0044	8.7808	16.5478
21.4000	10.6190	13.4206	20.5687	27.0943	8.4527	16.3782
21.5000	10.0608	13.1092	20.3959	26.7351	8.1491	15.9799
21.6000	9.5674	12.8227	19.9760	25.9346	7.9032	15.3799
21.7000	9.1878	12.5709	18.7194	24.7858	7.7183	14.6474
21.8000	8.9170	12.3343	17.2848	23.3429	7.5550	13.8175
21.9000	8.7086	12.0980	15.8619	21.7090	7.4138	12.9493
22.0000	8.5530	11.8638	14.5988	20.1896	7.3476	12.2367
22.1000	8.4133	11.6210	13.4310	18.8739	7.3378	11.7075
22.2000	8.2866	11.3623	12.6152	17.7470	7.3428	11.3269
22.3000	8.1897	11.1138	11.9792	16.7664	7.3609	11.0672
22.4000	8.1235	10.9011	11.2442	15.9858	7.4236	10.9542
22.5000	8.0751	10.6943	10.5751	15.2972	7.4791	10.8873
22.6000	8.0306	10.4811	10.2915	14.6710	7.5371	10.8326
22.7000	7.9663	10.2765	10.0248	14.1838	7.6327	10.8614
22.8000	7.9014	10.0868	9.8623	13.8313	7.7511	10.9769
22.9000	7.8396	9.9107	9.8041	13.4804	7.8232	11.0512
23.0000	7.8085	9.7538	9.7704	13.1414	7.8793	11.0985
23.1000	7.8015	9.6245	9.5274	12.8249	7.9507	11.1451
23.2000	7.7878	9.5022	9.2915	12.5110	8.0200	11.1808
23.3000	7.7487	9.3679	9.2892	12.1641	8.0589	11.1752
23.4000	7.6972	9.2404	9.3283	11.8460	8.0965	11.1925
23.5000	7.6653	9.1276	9.1933	11.5506	8.1161	11.2110
23.6000	7.6633	9.0304	9.0454	11.2056	8.0935	11.1680
23.7000	7.6708	8.9531	8.8927	10.8198	8.0479	11.0672
23.8000	7.6737	8.8930	8.7437	10.4981	8.0398	10.9985
23.9000	7.6476	8.8346	8.6228	10.2343	8.0513	10.9633
24.0000	7.6019	8.7616	8.7109	10.0095	8.0662	10.9466
24.1000	7.5497	8.6922	8.8042	9.8227	8.0760	10.9375
24.2000	7.5225	8.6397	8.7875	9.6654	8.0754	10.9311
24.3000	7.5218	8.5910	8.7208	9.4901	8.0492	10.8746
24.4000	7.5276	8.5385	8.6603	9.3019	8.0159	10.7827
24.5000	7.5292	8.4825	8.6385	9.1529	8.0126	10.7067
24.6000	7.5076	8.4228	8.6226	9.0581	8.0434	10.6686
24.7000	7.4701	8.3590	8.6999	8.9892	8.0794	10.6515
24.8000	7.4350	8.3016	8.8180	8.9376	8.1144	10.6415
24.9000	7.4141	8.2560	8.8114	8.9137	8.1476	10.6396
25.0000	7.4125	8.2126	8.7680	8.8811	8.1642	10.6127
