DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
8.8000	7.7382	12.1195	12.4437	18.9473	8.8626	16.1832
8.9000	7.6623	11.8857	11.4081	17.4111	8.9444	15.0427
9.0000	7.6031	11.6647	10.5380	16.0740	9.1090	14.0637
9.1000	7.5648	11.4662	9.7556	15.0039	9.3966	13.3128
9.2000	7.5289	11.3074	9.1367	14.1590	9.8029	12.7675
9.3000	7.4784	11.1846	8.7526	13.5016	10.3199	12.3908
9.4000	7.4200	11.0880	8.6054	13.0092	10.9197	12.1635
9.5000	7.3734	11.0071	8.5578	12.6345	11.5383	12.0467
9.6000	7.3588	10.9287	8.4811	12.3024	12.1022	11.9729
9.7000	7.3830	10.8575	8.3525	11.9632	12.5834	11.8978
9.8000	7.4179	10.7937	8.1355	11.6171	12.9590	11.8251
9.9000	7.4399	10.7311	7.9292	11.2453	13.1802	11.7364
10.0000	7.4759	10.6787	7.8377	10.8717	13.2987	11.6520
10.1000	7.5327	10.6533	7.6043	10.5598	13.3729	11.6237
10.2000	7.6017	10.6683	7.3120	10.3156	13.4086	11.6530
10.3000	7.6746	10.7200	7.1927	10.1139	13.3786	11.7183
10.4000	7.7473	10.8067	7.2236	10.0162	13.2955	11.8802
10.5000	7.8058	10.9311	7.3637	10.0208	13.1596	12.1232
10.6000	7.8509	11.0733	7.6576	10.0808	12.9676	12.3784
10.7000	7.8879	11.2177	7.9897	10.1738	12.7577	12.6104
10.8000	7.9321	11.3628	8.2458	10.2702	12.5620	12.8224
10.9000	7.9757	11.4852	8.4273	10.3480	12.3506	12.9975
11.0000	8.0029	11.5788	8.6201	10.3830	12.0926	13.1091
11.1000	8.0246	11.6681	8.8559	10.3907	11.8048	13.1726
11.2000	8.0435	11.7593	8.9544	10.4115	11.5255	13.2218
11.3000	8.0676	11.8346	8.9712	10.4281	11.2307	13.2333
11.4000	8.0927	11.9004	9.0453	10.4317	10.9195	13.1993
11.5000	8.0970	11.9700	9.0864	10.4796	10.6438	13.1868
11.6000	8.0858	12.0360	9.1632	10.5893	10.3753	13.1952
11.7000	8.0718	12.0728	9.3507	10.7258	10.0674	13.1679
11.8000	8.0684	12.0298	9.4642	10.9044	9.7750	13.1221
11.9000	8.0765	11.9189	9.4265	11.1258	9.5321	13.0635
12.0000	8.0838	11.7745	9.4289	11.3371	9.3133	12.9510
12.1000	8.0830	11.6165	9.5473	11.5292	9.1324	12.8042
12.2000	8.0888	11.4757	9.6245	11.7371	9.0360	12.6747
12.3000	8.1232	11.3362	9.6265	12.0148	9.1276	12.6351
12.4000	8.1541	11.1873	9.6023	12.3907	9.3718	12.7186
12.5000	8.1633	11.0415	9.9075	12.8223	9.6191	12.8402
12.6000	8.1826	10.8988	10.5831	13.2614	9.8279	12.9469
12.7000	8.2831	10.7499	10.9732	13.6366	9.9351	12.9824
12.8000	8.4947	10.5836	10.9944	13.8230	9.8856	12.8277
12.9000	8.6823	10.4147	10.6598	13.7555	9.7362	12.4550
13.0000	8.7897	10.2509	10.2681	13.5299	9.6102	11.9927
13.1000	8.8273	10.0836	10.1163	13.2512	9.5614	11.5477
13.2000	8.8115	9.9284	10.0213	13.0167	9.5893	11.1989
13.3000	8.8048	9.8314	9.9511	12.8546	9.6674	10.9489
13.4000	8.8011	9.8230	9.8812	12.7216	9.7700	10.7534
13.5000	8.7889	9.8482	9.9139	12.5807	9.8596	10.5960
13.6000	8.7696	9.8512	10.1830	12.4364	9.9469	10.4874
13.7000	8.7268	9.8270	10.4555	12.3208	10.0675	10.4470
13.8000	8.6772	9.7849	10.6577	12.1798	10.1582	10.4228
13.9000	8.6531	9.7520	10.8308	11.9558	10.1790	10.3538
14.0000	8.6690	9.7500	10.7044	11.6834	10.1699	10.2574
14.1000	8.7185	9.7788	10.3410	11.3803	10.1548	10.1502
14.2000	8.7443	9.8126	10.0661	11.0387	10.1345	10.0305
14.3000	8.7123	9.8299	9.9961	10.7076	10.0991	9.9198
14.4000	8.6632	9.8528	10.0570	10.4454	10.0866	9.8462
14.5000	8.6262	9.8982	9.9784	10.2222	10.0689	9.7857
14.6000	8.6376	9.9606	9.8675	9.9789	9.9998	9.6812
14.7000	8.6880	10.0294	9.7571	9.7288	9.9248	9.5374
14.8000	8.7319	10.0864	9.5527	9.5987	9.9300	9.4457
14.9000	8.7246	10.1021	9.4981	9.5883	9.9859	9.4260
15.0000	8.6662	10.0705	9.8015	9.6063	10.0476	9.4406
15.1000	8.6130	10.0307	10.1415	9.6479	10.1302	9.4858
15.2000	8.6246	10.0159	10.1781	9.6880	10.2429	9.5430
15.3000	8.6810	10.0168	10.0365	9.6870	10.3706	9.5705
15.4000	8.7211	10.0256	10.0053	9.6625	10.5303	9.5724
15.5000	8.7129	10.0317	10.1710	9.6918	10.7819	9.6177
15.6000	8.6499	10.0168	10.3403	9.8004	11.0945	9.7162
15.7000	8.5919	9.9823	10.5907	9.9035	11.3598	9.7868
15.8000	8.5781	9.9639	10.7243	9.9516	11.5493	9.7776
15.9000	8.6193	9.9872	10.4667	9.9414	11.6673	9.6872
16.0000	8.7158	10.0297	10.1304	9.8393	11.7286	9.5056
16.1000	8.8007	10.0696	9.8630	9.6945	11.8426	9.2827
16.2000	8.8394	10.1009	9.6800	9.5971	12.0608	9.0961
16.3000	8.8357	10.1273	9.6745	9.5483	12.3445	8.9655
16.4000	8.8048	10.1578	9.7266	9.5141	12.6432	8.8668
16.5000	8.8088	10.2179	9.8058	9.4877	12.9455	8.7762
16.6000	8.8529	10.3187	9.7515	9.4503	13.2440	8.6689
16.7000	8.9326	10.4263	9.6621	9.3990	13.5675	8.5534
16.8000	9.0033	10.5247	9.6753	9.3404	13.9910	8.4788
16.9000	9.0211	10.6148	9.7756	9.3354	14.5647	8.4957
17.0000	8.9947	10.6960	10.0065	9.3636	15.2101	8.5552
17.1000	8.9772	10.7910	10.3033	9.3752	15.8569	8.6040
17.2000	9.0149	10.9117	10.3613	9.3714	16.5115	8.6219
17.3000	9.1139	11.0598	10.1564	9.3462	17.1674	8.5937
17.4000	9.2403	11.2222	9.9680	9.2641	17.8269	8.5215
17.5000	9.3497	11.4025	9.8708	9.1607	18.6215	8.4673
17.6000	9.4354	11.6142	9.7846	9.0903	19.6037	8.4816
17.7000	9.5308	11.8328	9.7629	9.0670	20.7377	8.5625
17.8000	9.6476	12.0675	9.7097	9.0986	22.0101	8.7139
17.9000	9.8087	12.3473	9.6066	9.1918	23.3428	8.9484
18.0000	10.0169	12.6678	9.5315	9.3269	24.4881	9.2277
18.1000	10.2889	12.9949	9.5220	9.4528	25.2587	9.5088
18.2000	10.6934	13.3233	9.5510	9.5910	25.7886	9.8370
18.3000	11.1707	13.6640	9.3213	9.7792	26.0838	10.2142
18.4000	11.6444	14.0243	9.3017	9.9926	26.0077	10.5819
18.5000	12.0522	14.4323	9.7264	10.2274	25.6317	10.9261
18.6000	12.4175	14.9015	10.1871	10.5687	25.1574	11.3101
18.7000	12.7711	15.4253	10.6274	10.9637	24.5283	11.6820
18.8000	13.0778	15.9932	11.1779	11.3446	23.7675	11.9925
18.9000	13.3074	16.5941	11.8617	11.7276	23.0027	12.2948
19.0000	13.4667	17.2105	12.6345	12.1253	22.1881	12.5940
19.1000	13.5979	17.7570	13.5277	12.5259	21.2932	12.8636
19.2000	13.7131	18.2297	14.3212	12.9319	20.3377	13.1053
19.3000	13.8219	18.6911	14.9286	13.3703	19.3437	13.3439
19.4000	13.9074	19.1068	15.4413	13.8486	18.3382	13.5796
19.5000	13.9456	19.4400	15.9739	14.3442	17.4091	13.8007
19.6000	13.9645	19.6825	16.6043	14.8452	16.5755	14.0065
19.7000	13.9706	19.8512	17.0252	15.3672	15.8417	14.2072
19.8000	13.9786	19.9460	17.2269	15.8934	15.1553	14.3804
19.9000	13.9974	19.9652	17.4347	16.3992	14.5096	14.5034
20.0000	13.9985	19.9221	17.4974	16.9480	13.9059	14.6215
20.1000	13.9904	19.7932	17.5408	17.5688	13.3423	14.7476
20.2000	13.9607	19.5666	17.6748	18.2656	12.8431	14.8642
20.3000	13.8951	19.2529	17.7970	19.0795	12.4247	15.0019
20.4000	13.8012	18.8550	18.0134	20.0255	12.0645	15.1838
20.5000	13.6585	18.3728	18.2565	21.0201	11.7419	15.3995
20.6000	13.4884	17.8078	18.6539	21.9726	11.4188	15.6386
20.7000	13.2935	17.1832	19.0772	22.9326	11.0853	15.8916
20.8000	13.0645	16.4917	19.3249	23.9156	10.7347	16.1552
20.9000	12.8053	15.8029	19.6399	24.7882	10.3627	16.3639
21.0000	12.4871	15.1818	20.0065	25.5403	9.9832	16.5216
21.1000	12.0997	14.6336	20.2555	26.2045	9.5798	16.6331
21.2000	11.6607	14.1619	20.5653	26.7020	9.1538	16.6438
21.3000	11.1696	13.7634	20.7075	27.0136	8.7755	16.5674
21.4000	10.6193	13.4205	20.5426	27.1160	8.4484	16.3954
21.5000	10.0609	13.1093	20.3855	26.7718	8.1486	16.0002
21.6000	9.5684	12.8233	19.9528	25.9761	7.9022	15.3974
21.7000	9.1872	12.5722	18.7108	24.8382	7.7179	14.6691
21.8000	8.9178	12.3361	17.2708	23.3878	7.5521	13.8393
21.9000	8.7090	12.1001	15.8640	21.7425	7.4097	12.9757
