DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
8.8000	7.7386	12.1226	12.4358	18.9411	8.8680	16.1654
8.9000	7.6628	11.8884	11.4155	17.4031	8.9491	15.0244
9.0000	7.6037	11.6674	10.5349	16.0682	9.1145	14.0446
9.1000	7.5648	11.4692	9.7566	14.9944	9.4010	13.2961
9.2000	7.5289	11.3104	9.1343	14.1512	9.8077	12.7492
9.3000	7.4787	11.1875	8.7525	13.4927	10.3242	12.3737
9.4000	7.4204	11.0909	8.6048	13.0007	10.9255	12.1448
9.5000	7.3734	11.0099	8.5561	12.6258	11.5441	12.0291
9.6000	7.3588	10.9318	8.4778	12.2932	12.1072	11.9547
9.7000	7.3831	10.8602	8.3520	11.9544	12.5884	11.8802
9.8000	7.4179	10.7968	8.1304	11.6096	12.9629	11.8086
9.9000	7.4401	10.7340	7.9295	11.2373	13.1837	11.7214
10.0000	7.4764	10.6816	7.8351	10.8646	13.3025	11.6373
10.1000	7.5328	10.6563	7.6021	10.5529	13.3772	11.6101
10.2000	7.6020	10.6712	7.3105	10.3090	13.4124	11.6410
10.3000	7.6749	10.7230	7.1904	10.1086	13.3832	11.7064
10.4000	7.7475	10.8097	7.2252	10.0103	13.3003	11.8698
10.5000	7.8060	10.9340	7.3598	10.0160	13.1654	12.1139
10.6000	7.8510	11.0764	7.6588	10.0766	12.9741	12.3697
10.7000	7.8880	11.2205	7.9887	10.1684	12.7625	12.6018
10.8000	7.9322	11.3654	8.2451	10.2657	12.5689	12.8144
10.9000	7.9759	11.4882	8.4280	10.3450	12.3583	12.9898
11.0000	8.0033	11.5816	8.6169	10.3780	12.0984	13.1017
11.1000	8.0248	11.6708	8.8595	10.3868	11.8123	13.1646
11.2000	8.0439	11.7623	8.9546	10.4075	11.5326	13.2151
11.3000	8.0679	11.8377	8.9676	10.4239	11.2371	13.2280
11.4000	8.0929	11.9034	9.0504	10.4292	10.9262	13.1929
11.5000	8.0977	11.9732	9.0844	10.4768	10.6504	13.1809
11.6000	8.0858	12.0393	9.1625	10.5860	10.3815	13.1908
11.7000	8.0719	12.0758	9.3525	10.7218	10.0732	13.1623
11.8000	8.0687	12.0331	9.4658	10.9014	9.7811	13.1165
11.9000	8.0769	11.9222	9.4267	11.1219	9.5372	13.0592
12.0000	8.0839	11.7780	9.4263	11.3334	9.3202	12.9445
12.1000	8.0830	11.6202	9.5532	11.5250	9.1385	12.7972
12.2000	8.0890	11.4789	9.6206	11.7323	9.0439	12.6670
12.3000	8.1232	11.3399	9.6281	12.0105	9.1357	12.6276
12.4000	8.1543	11.1910	9.6029	12.3881	9.3810	12.7095
12.5000	8.1635	11.0452	9.9064	12.8174	9.6284	12.8323
12.6000	8.1829	10.9025	10.5851	13.2590	9.8367	12.9396
12.7000	8.2832	10.7535	10.9739	13.6329	9.9432	12.9766
12.8000	8.4952	10.5873	10.9987	13.8215	9.8943	12.8205
12.9000	8.6829	10.4183	10.6625	13.7508	9.7426	12.4490
13.0000	8.7900	10.2545	10.2616	13.5272	9.6186	11.9853
13.1000	8.8277	10.0873	10.1244	13.2483	9.5685	11.5397
13.2000	8.8119	9.9319	10.0146	13.0111	9.5986	11.1889
13.3000	8.8050	9.8350	9.9553	12.8492	9.6757	10.9399
13.4000	8.8016	9.8268	9.8799	12.7182	9.7787	10.7418
13.5000	8.7892	9.8518	9.9114	12.5720	9.8690	10.5852
13.6000	8.7699	9.8548	10.1847	12.4288	9.9568	10.4739
13.7000	8.7272	9.8304	10.4518	12.3131	10.0782	10.4338
13.8000	8.6777	9.7887	10.6534	12.1715	10.1687	10.4096
13.9000	8.6536	9.7555	10.8313	11.9485	10.1902	10.3392
14.0000	8.6693	9.7535	10.7008	11.6746	10.1786	10.2434
14.1000	8.7188	9.7823	10.3390	11.3726	10.1655	10.1364
14.2000	8.7446	9.8163	10.0634	11.0319	10.1440	10.0183
14.3000	8.7129	9.8336	9.9925	10.7005	10.1082	9.9079
14.4000	8.6636	9.8566	10.0629	10.4388	10.0960	9.8350
14.5000	8.6266	9.9021	9.9720	10.2162	10.0792	9.7755
14.6000	8.6378	9.9646	9.8682	9.9718	10.0078	9.6724
14.7000	8.6882	10.0334	9.7574	9.7230	9.9325	9.5265
14.8000	8.7322	10.0905	9.5501	9.5916	9.9380	9.4378
14.9000	8.7248	10.1067	9.4927	9.5826	9.9939	9.4183
15.0000	8.6665	10.0747	9.8050	9.6005	10.0560	9.4323
15.1000	8.6133	10.0349	10.1421	9.6404	10.1362	9.4772
15.2000	8.6245	10.0198	10.1759	9.6818	10.2515	9.5344
15.3000	8.6814	10.0209	10.0336	9.6800	10.3776	9.5627
15.4000	8.7212	10.0298	10.0007	9.6552	10.5369	9.5625
15.5000	8.7133	10.0356	10.1747	9.6851	10.7909	9.6075
15.6000	8.6498	10.0210	10.3321	9.7917	11.1023	9.7062
15.7000	8.5920	9.9862	10.5911	9.8951	11.3685	9.7763
15.8000	8.5783	9.9677	10.7253	9.9436	11.5598	9.7657
15.9000	8.6198	9.9912	10.4590	9.9316	11.6737	9.6770
16.0000	8.7161	10.0335	10.1300	9.8323	11.7388	9.4949
16.1000	8.8013	10.0736	9.8636	9.6851	11.8485	9.2725
16.2000	8.8395	10.1048	9.6733	9.5880	12.0687	9.0864
16.3000	8.8363	10.1312	9.6800	9.5398	12.3522	8.9578
16.4000	8.8054	10.1619	9.7178	9.5057	12.6513	8.8573
16.5000	8.8092	10.2216	9.8123	9.4791	12.9538	8.7685
16.6000	8.8532	10.3225	9.7442	9.4432	13.2527	8.6593
16.7000	8.9327	10.4302	9.6617	9.3901	13.5755	8.5453
16.8000	9.0035	10.5285	9.6736	9.3324	14.0010	8.4685
16.9000	9.0214	10.6188	9.7725	9.3255	14.5762	8.4858
17.0000	8.9951	10.6998	10.0040	9.3550	15.2233	8.5446
17.1000	8.9771	10.7946	10.3058	9.3657	15.8693	8.5919
17.2000	9.0150	10.9155	10.3577	9.3625	16.5273	8.6090
17.3000	9.1144	11.0634	10.1531	9.3366	17.1820	8.5821
17.4000	9.2405	11.2261	9.9632	9.2546	17.8440	8.5076
17.5000	9.3504	11.4062	9.8735	9.1514	18.6376	8.4543
17.6000	9.4356	11.6173	9.7783	9.0800	19.6189	8.4678
17.7000	9.5311	11.8359	9.7642	9.0578	20.7538	8.5488
17.8000	9.6478	12.0715	9.7061	9.0902	22.0266	8.7000
17.9000	9.8089	12.3515	9.6043	9.1823	23.3562	8.9345
18.0000	10.0170	12.6721	9.5288	9.3192	24.5021	9.2144
18.1000	10.2892	12.9998	9.5190	9.4439	25.2701	9.4960
18.2000	10.6936	13.3278	9.5497	9.5825	25.7985	9.8238
18.3000	11.1721	13.6693	9.3187	9.7716	26.0952	10.2022
18.4000	11.6444	14.0299	9.2981	9.9853	26.0205	10.5697
18.5000	12.0529	14.4375	9.7269	10.2200	25.6436	10.9141
18.6000	12.4179	14.9075	10.1841	10.5613	25.1722	11.2985
18.7000	12.7709	15.4307	10.6274	10.9571	24.5406	11.6719
18.8000	13.0777	15.9990	11.1751	11.3401	23.7801	11.9821
18.9000	13.3073	16.6001	11.8664	11.7218	23.0151	12.2848
19.0000	13.4667	17.2158	12.6299	12.1194	22.2010	12.5838
19.1000	13.5978	17.7629	13.5340	12.5200	21.3083	12.8526
19.2000	13.7132	18.2352	14.3213	12.9256	20.3536	13.0945
19.3000	13.8221	18.6968	14.9293	13.3635	19.3564	13.3327
19.4000	13.9075	19.1140	15.4478	13.8417	18.3522	13.5675
19.5000	13.9460	19.4458	15.9741	14.3347	17.4209	13.7890
19.6000	13.9646	19.6890	16.6107	14.8364	16.5892	13.9934
19.7000	13.9708	19.8574	17.0296	15.3582	15.8556	14.1947
19.8000	13.9791	19.9533	17.2227	15.8828	15.1668	14.3677
19.9000	13.9975	19.9725	17.4464	16.3918	14.5230	14.4896
20.0000	13.9991	19.9295	17.4966	16.9375	13.9167	14.6094
20.1000	13.9907	19.8022	17.5423	17.5597	13.3533	14.7345
20.2000	13.9610	19.5756	17.6862	18.2555	12.8531	14.8526
20.3000	13.8956	19.2613	17.7905	19.0692	12.4330	14.9895
20.4000	13.8015	18.8641	18.0304	20.0177	12.0733	15.1713
20.5000	13.6595	18.3817	18.2500	21.0132	11.7502	15.3865
20.6000	13.4891	17.8180	18.6623	21.9612	11.4256	15.6250
20.7000	13.2947	17.1939	19.0845	22.9298	11.0949	15.8762
20.8000	13.0660	16.4994	19.3237	23.9026	10.7410	16.1411
20.9000	12.8061	15.8113	19.6431	24.7807	10.3714	16.3464
21.0000	12.4887	15.1903	20.0157	25.5290	9.9905	16.5045
21.1000	12.1011	14.6429	20.2476	26.1972	9.5895	16.6135
21.2000	11.6631	14.1704	20.5799	26.6921	9.1624	16.6249
21.3000	11.1731	13.7722	20.7028	27.0043	8.7848	16.5472
21.4000	10.6188	13.4295	20.5679	27.1013	8.4575	16.3741
21.5000	10.0622	13.1180	20.3862	26.7585	8.1576	15.9749
21.6000	9.5695	12.8319	19.9660	25.9582	7.9101	15.3738
21.7000	9.1899	12.5808	18.7104	24.8288	7.7273	14.6405
21.8000	8.9191	12.3449	17.2778	23.3691	7.5598	13.8131
21.9000	8.7107	12.1087	15.8586	21.7268	7.4183	12.9468
22.0000	8.5553	11.8760	14.5984	20.1960	7.3499	12.2346
22.1000	8.4156	11.6331	13.4308	18.8804	7.3417	11.7069
22.2000	8.2890	11.3736	12.6168	17.7431	7.3424	11.3272
22.3000	8.1919	11.1248	11.9796	16.7693	7.3659	11.0687
22.4000	8.1262	10.9124	11.2436	15.9802	7.4239	10.9572
22.5000	8.0773	10.7055	10.5739	15.2983	7.4819	10.8919
22.6000	8.0331	10.4921	10.2902	14.6679	7.5373	10.8369
